"ID","Group","Item01","Item02","Item03","Item04","Item05","Item06","Item07","Item08","Item09","Item10"
"S001","A",1,0,1,1,1,0,1,0,0,0
"S002","B",1,1,0,1,1,1,1,0,1,0
"S003","A",1,1,1,0,1,1,1,99,0,0
"S004","A",1,1,1,1,1,1,1,1,1,1
"S005","A",1,1,1,1,0,1,0,0,1,0
"S006","B",0,1,0,0,1,0,1,1,0,1
"S007","B",0,1,0,1,1,0,0,0,0,0
"S008","B",1,1,1,1,0,1,1,1,0,0
"S009","B",1,1,0,0,0,0,1,0,0,0
"S010","B",1,1,0,1,0,0,0,1,0,0
"S011","B",1,1,1,1,1,1,99,0,1,0
"S012","B",1,99,0,0,1,1,0,0,1,0
"S013","B",0,1,1,99,1,1,1,1,1,0
"S014","B",0,0,0,0,0,0,0,0,0,0
"S015","A",1,1,1,1,1,0,1,0,0,0
"S016","B",1,0,1,0,1,1,0,1,1,0
"S017","B",0,0,1,0,0,0,0,0,0,0
"S018","A",1,1,1,0,0,1,0,1,0,0
"S019","A",0,1,1,1,1,0,1,0,0,0
"S020","B",1,1,1,1,0,0,0,0,0,0
"S021","B",1,1,1,1,1,1,1,0,0,0
"S022","B",0,1,1,1,0,0,0,0,0,0
"S023","A",0,1,0,1,0,1,1,1,1,0
"S024","B",1,1,1,0,0,0,0,0,0,0
"S025","A",1,1,1,1,1,1,1,0,0,0
"S026","B",1,0,0,0,0,0,0,1,0,0
"S027","A",1,1,0,1,0,1,0,0,0,0
"S028","A",0,1,1,1,0,1,0,1,0,0
"S029","A",1,0,0,1,0,1,1,0,0,0
"S030","B",1,1,0,0,0,99,0,0,0,0
"S031","A",1,1,1,1,0,0,0,0,0,0
"S032","A",1,1,1,1,1,1,1,0,1,1
"S033","A",0,1,1,0,0,0,0,0,0,1
"S034","B",1,0,1,0,1,0,0,0,0,0
"S035","A",1,1,0,1,1,0,1,0,0,0
"S036","B",1,1,1,1,1,0,0,1,0,0
"S037","B",0,0,1,1,0,0,0,0,0,1
"S038","A",1,1,1,0,99,1,0,0,0,0
"S039","B",0,0,1,1,0,0,1,0,0,99
"S040","B",0,1,0,1,99,0,0,0,0,0
