"ID","Group","V01","V02","V03","V04","V05","V06"
"S001","A",3,2,4,3,4,2
"S002","B",3,1,3,3,4,1
"S003","A",2,4,1,4,4,3
"S004","A",1,1,3,4,2,3
"S005","A",2,2,3,3,4,1
"S006","B",3,2,3,3,4,1
"S007","B",2,3,1,1,4,3
"S008","B",4,3,1,1,2,1
"S009","B",2,4,4,3,4,3
"S010","B",1,3,2,1,1,2
"S011","B",2,3,2,3,3,2
"S012","B",4,2,3,3,2,3
"S013","B",3,4,3,3,4,4
"S014","B",1,4,4,1,1,2
"S015","A",2,4,2,4,2,3
"S016","B",4,4,4,3,3,4
"S017","B",1,4,1,1,2,2
"S018","A",1,4,4,2,2,4
"S019","A",3,1,4,4,1,1
"S020","B",4,1,2,2,3,4
"S021","B",4,2,1,2,1,4
"S022","B",1,4,2,2,4,1
"S023","A",2,4,2,4,4,2
"S024","B",4,3,4,1,3,3
"S025","A",4,4,1,2,3,3
"S026","B",1,2,2,3,1,3
"S027","A",4,4,1,2,4,2
"S028","A",2,3,1,4,4,1
"S029","A",1,1,2,4,1,1
"S030","B",4,4,2,3,3,1
"S031","A",2,4,4,2,4,1
"S032","A",1,1,2,2,3,1
"S033","A",4,2,3,2,3,4
"S034","B",4,2,3,4,4,4
"S035","A",4,4,2,4,4,1
"S036","B",3,2,2,2,4,3
"S037","B",1,3,1,3,4,4
"S038","A",1,3,1,2,4,1
"S039","B",2,2,1,2,1,4
"S040","B",2,3,2,2,3,3
