"ID","Group","Q01","Q02","Q03","Q04","Q05","Q06","Q07","Q08"
"S001","A",4,2,2,2,3,4,2,4
"S002","B",5,5,4,5,5,5,5,5
"S003","A",1,2,3,4,2,3,2,2
"S004","A",1,1,1,1,1,1,1,1
"S005","A",4,4,3,5,2,5,5,3
"S006","B",5,5,5,5,4,5,5,4
"S007","B",2,2,5,2,4,1,1,3
"S008","B",2,1,3,4,2,2,4,4
"S009","B",4,5,5,1,3,4,2,5
"S010","B",2,1,1,1,3,1,1,1
"S011","B",2,2,4,2,3,2,1,3
"S012","B",5,3,3,4,5,4,3,4
"S013","B",5,5,5,3,5,5,5,5
"S014","B",4,5,5,5,5,5,4,5
"S015","A",3,5,4,5,5,5,5,3
"S016","B",4,3,1,2,3,2,3,2
"S017","B",3,2,4,2,4,2,2,3
"S018","A",1,3,3,3,2,4,3,2
"S019","A",3,4,2,5,3,3,4,4
"S020","B",3,4,2,1,4,2,3,3
"S021","B",2,4,4,3,4,3,4,5
"S022","B",5,3,1,3,5,4,4,4
"S023","A",4,3,5,4,2,3,4,3
"S024","B",5,5,4,5,4,5,5,4
"S025","A",3,1,1,2,3,3,1,2
"S026","B",1,1,1,1,1,4,2,1
"S027","A",5,5,5,5,5,5,5,5
"S028","A",1,1,2,2,1,1,1,1
"S029","A",3,3,4,3,5,4,3,5
"S030","B",4,4,2,2,3,3,5,2
"S031","A",4,4,2,4,1,2,3,3
"S032","A",3,3,3,1,2,3,4,2
"S033","A",2,2,3,4,2,2,2,2
"S034","B",3,3,5,4,2,1,3,5
"S035","A",2,1,3,3,1,1,3,1
"S036","B",5,4,4,4,4,4,4,4
"S037","B",1,1,2,1,1,1,1,1
"S038","A",1,4,1,1,1,2,1,2
"S039","B",1,2,1,3,1,1,2,1
"S040","B",2,2,2,3,4,3,2,1
